LSOA21CD,AHAH_Index_Score,AHAH_Index_Rank,AHAH_Index_Percentile
E01000001,59.7543,42592,100
E01000002,65.4344,42635,100
E01000003,57.4313,42559,100
E01000005,64.3384,42629,100
E01000006,33.5326,38389,91
E01000007,35.1725,39201,92
E01000008,25.3279,30898,73
E01000009,42.9237,41508,98
E01000011,32.696,37907,89
E01000012,28.3797,34533,81
E01000013,39.041,40625,96
E01000014,29.0598,35201,83
E01000015,31.2095,36904,87
E01000016,28.4527,34601,82
E01000017,27.1251,33215,78
E01000018,31.7003,37231,88
E01000019,21.6505,24687,58
E01000020,23.0063,27184,64
E01000021,23.682,28415,67
E01000022,23.6664,28384,67
E01000024,27.5411,33678,79
E01000025,28.0083,34146,81
E01000027,19.2682,19675,47
E01000028,17.6804,15958,38
E01000029,25.6593,31365,74
E01000030,18.0684,16915,40
E01000031,27.8507,33996,80
E01000032,38.098,40329,95
E01000033,22.8822,26938,64
E01000034,22.4243,26160,62
E01000035,31.6417,37202,88
E01000036,39.2138,40664,96
E01000037,20.9578,23278,55
E01000038,23.9265,28801,68
E01000039,21.9069,25212,60
E01000040,36.4527,39764,94
E01000041,26.9253,32968,78
E01000042,27.3335,33454,79
E01000043,32.5283,37809,89
E01000044,39.3695,40716,96
E01000045,30.0614,36042,85
E01000046,26.3856,32302,76
E01000049,33.4961,38370,90
E01000050,39.2784,40690,96
E01000051,45.3351,41865,99
E01000052,39.2345,40673,96
E01000053,38.5228,40460,95
E01000054,25.4437,31074,73
E01000055,25.7269,31459,74
E01000056,29.4234,35513,84
E01000057,24.6548,29921,71
E01000058,27.733,33878,80
E01000059,29.8424,35864,85
E01000060,24.2322,29259,69
E01000061,23.0204,27214,64
E01000062,26.7305,32704,77
E01000063,25.5491,31211,74
E01000064,25.3063,30867,73
E01000065,30.7603,36539,86
E01000066,27.8276,33974,80
E01000067,29.0561,35192,83
E01000068,32.888,38024,90
E01000069,28.5437,34688,82
E01000070,33.982,38615,91
E01000071,30.3847,36267,86
E01000072,26.8298,32843,78
E01000073,25.3458,30930,73
E01000074,24.5053,29688,70
E01000075,22.0412,25456,60
E01000076,25.7114,31441,74
E01000077,27.9061,34057,80
E01000078,33.669,38460,91
E01000079,29.0966,35230,83
E01000080,26.1762,32032,76
E01000081,26.7564,32747,77
E01000082,28.8206,34973,83
