area,chn1997,chn1998,chn1999,chn2000,chn2001,chn2002,chn2003,chn2004,chn2005,chn2006,chn2007,chn2008,chn2009,chn2010,chn2011,chn2012,chn2013,chn2014,chn2015,chn2016,chn2017,chn2018,chn2019,chn2020,chn2021,chn2022,chn2023
E06000001,0.641,0.626,0.605,0.588,0.566,0.534,0.508,0.486,0.461,0.432,0.406,0.384,0.365,0.348,0.327,0.296,0.267,0.253,0.239,0.225,0.201,0.166,0.142,0.124,0.092,0.056,0
E06000002,0.631,0.617,0.598,0.584,0.563,0.537,0.519,0.502,0.485,0.467,0.450,0.432,0.408,0.384,0.361,0.333,0.308,0.295,0.278,0.260,0.232,0.188,0.158,0.138,0.107,0.070,0
E06000003,0.613,0.600,0.583,0.569,0.547,0.517,0.492,0.471,0.452,0.431,0.412,0.394,0.372,0.351,0.331,0.304,0.281,0.267,0.250,0.232,0.202,0.163,0.141,0.122,0.092,0.060,0
E06000004,0.645,0.631,0.612,0.597,0.584,0.566,0.543,0.520,0.498,0.470,0.444,0.422,0.401,0.382,0.362,0.332,0.305,0.289,0.275,0.263,0.248,0.226,0.209,0.190,0.152,0.100,0
E06000005,0.669,0.655,0.635,0.621,0.602,0.574,0.547,0.524,0.504,0.484,0.464,0.444,0.425,0.407,0.387,0.360,0.336,0.322,0.304,0.283,0.251,0.208,0.180,0.160,0.128,0.085,0
E06000006,0.619,0.608,0.587,0.570,0.550,0.522,0.500,0.479,0.457,0.436,0.417,0.396,0.373,0.355,0.337,0.306,0.274,0.258,0.241,0.223,0.197,0.158,0.133,0.117,0.091,0.059,0
E06000007,0.667,0.654,0.636,0.623,0.608,0.587,0.571,0.556,0.539,0.521,0.504,0.485,0.466,0.450,0.433,0.403,0.373,0.357,0.339,0.320,0.292,0.253,0.225,0.199,0.157,0.103,0
E06000008,0.699,0.687,0.669,0.652,0.630,0.600,0.576,0.555,0.537,0.521,0.505,0.484,0.460,0.437,0.414,0.388,0.363,0.347,0.328,0.306,0.267,0.209,0.167,0.141,0.109,0.072,0
E06000009,0.824,0.816,0.803,0.793,0.779,0.758,0.738,0.721,0.706,0.692,0.680,0.671,0.660,0.650,0.637,0.612,0.585,0.566,0.536,0.501,0.434,0.339,0.280,0.241,0.183,0.117,0
E06000010,0.678,0.665,0.647,0.634,0.616,0.592,0.571,0.550,0.531,0.509,0.488,0.467,0.445,0.426,0.402,0.371,0.342,0.324,0.304,0.283,0.250,0.202,0.170,0.149,0.117,0.077,0
E06000011,0.675,0.661,0.641,0.626,0.605,0.578,0.555,0.534,0.514,0.494,0.476,0.460,0.442,0.425,0.400,0.365,0.338,0.322,0.306,0.290,0.257,0.212,0.186,0.164,0.125,0.079,0
